Med	Gen	Rep	Perm	FY
3	11	2	42	3.64
3	11	3	43	5.94
3	11	4	44	3.63
3	12	1	45	2.52
3	12	2	46	1.16
3	12	3	47	1.3
3	12	4	48	0.95
3	13	1	49	4.42
3	13	2	50	1.87
3	13	3	51	1.78
3	13	4	52	1.4
3	14	1	53	1.77
3	14	2	54	2.04
3	14	3	55	1.86
3	14	4	56	2.52
3	15	1	57	6.07
3	15	2	58	7.15
3	15	3	59	5.75
3	15	4	60	3.34
3	16	1	61	0.68
3	16	2	62	4.15
3	16	3	63	1.6
3	16	4	64	0.6
3	17	1	65	0.36
3	17	2	66	1.72
3	17	3	67	0.6
3	17	4	68	1.03
3	18	1	69	3.59
3	18	2	70	4.69
3	18	3	71	1.78
3	18	4	72	3.21
3	19	1	73	4.15
3	19	2	74	2.81
3	19	3	75	2.76
3	19	4	76	3.19
3	20	1	77	0.78
3	20	2	78	2.03
3	20	3	79	0.21
3	20	4	80	0.27
3	21	1	81	NA
3	21	2	82	0.13
3	21	3	83	0.3
3	21	4	84	NA
3	22	1	85	3.47
3	22	2	86	3.11
3	22	3	87	2.1
3	22	4	88	2.46
3	23	1	89	5.04
3	23	2	90	5.57
3	23	3	91	3.21
3	23	4	92	2.32
3	24	1	93	4.24
3	24	2	94	1.2
3	24	3	95	1.66
3	24	4	96	0.12
4	1	1	1	6.22
4	1	2	2	5.37
4	1	3	3	5.49
4	1	4	4	4.85
4	2	1	5	3.79
4	2	2	6	6.77
4	2	3	7	3.82
4	2	4	8	3.67
4	3	1	9	8.96
4	3	2	10	8.72
4	3	3	11	6.81
4	3	4	12	11.59
4	4	1	13	5.77
4	4	2	14	7.28
4	4	3	15	7.7
4	4	4	16	5.1
4	5	1	17	3.28
4	5	2	18	0.85
4	5	3	19	1.7
4	5	4	20	3.22
4	6	1	21	1.4
4	6	2	22	6.23
4	6	3	23	4.61
4	6	4	24	4.6
4	7	1	25	6.04
4	7	2	26	7.64
4	7	3	27	3.88
4	7	4	28	5.97
4	8	1	29	2.97
4	8	2	30	1.76
4	8	3	31	0.93
4	8	4	32	1.24
4	9	1	33	NA
4	9	2	34	0.17
4	9	3	35	0.58
4	9	4	36	0.29
4	10	1	37	2.42
4	10	2	38	3.2
4	10	3	39	6.15
4	10	4	40	3.52
4	11	1	41	3.28
4	11	2	42	5.2
4	11	3	43	7.38
4	11	4	44	10.21
4	12	1	45	2.57
4	12	2	46	3.78
4	12	3	47	4.2
4	12	4	48	1.27
4	13	1	49	3.01
4	13	2	50	4.2
4	13	3	51	7.95
4	13	4	52	2.79
4	14	1	53	5.17
4	14	2	54	6.3
4	14	3	55	5.75
4	14	4	56	4.99
4	15	1	57	9.13
4	15	2	58	12.56
4	15	3	59	8.12
4	15	4	60	4.08
4	16	1	61	6.46
4	16	2	62	9.2
4	16	3	63	5.11
4	16	4	64	2
4	17	1	65	3.65
4	17	2	66	3.95
4	17	3	67	7.4
4	17	4	68	6.98
4	18	1	69	8.99
4	18	2	70	20.47
4	18	3	71	7.32
4	18	4	72	7.27
4	19	1	73	4.49
4	19	2	74	7.36
4	19	3	75	10.03
4	19	4	76	3.96
4	20	1	77	4.79
4	20	2	78	1.98
4	20	3	79	2.59
4	20	4	80	1.18
4	21	1	81	NA
4	21	2	82	2.16
4	21	3	83	NA
4	21	4	84	2.96
4	22	1	85	7.29
4	22	2	86	2.32
4	22	3	87	7.14
4	22	4	88	8.46
4	23	1	89	6.44
4	23	2	90	3.23
4	23	3	91	12.99
4	23	4	92	1.72
4	24	1	93	2.12
4	24	2	94	4.9
4	24	3	95	6.93
4	24	4	96	1.93
5	1	1	1	7.52
5	1	2	2	4.31
5	1	3	3	4.66
5	1	4	4	6.54
5	2	1	5	6.89
5	2	2	6	3.5
5	2	3	7	6.17
5	2	4	8	5.46
5	3	1	9	4.86
5	3	2	10	6.91
5	3	3	11	7.92
5	3	4	12	4.53
5	4	1	13	6.48
5	4	2	14	3.6
5	4	3	15	8.52
5	4	4	16	6.96
5	5	1	17	2.61
5	5	2	18	2.23
5	5	3	19	2.53
5	5	4	20	4.93
5	6	1	21	3.18
5	6	2	22	1.75
5	6	3	23	2.05
5	6	4	24	6.42
5	7	1	25	4.22
5	7	2	26	1.46
